O;ARCH;VEC;ALIG;IMG;KER;MINC;E;FM;S;Total_s;Read_s;Read_cyc;Write_s;Write_cyc;Conv_s;Conv_cyc;Ker_s;Ker_cyc
0;+;+;+;F;D;3;+;+;+;3.7686;0.076867;191843921;0.342533;854934051;3.345333;8349839447;0.000067;120819
0;+;+;+;F;D;3;+;-;+;4.0462;0.079533;198509289;0.359267;896699632;3.603000;8992947355;0.000100;218815
0;+;+;+;F;D;3;-;+;+;3.8817;0.079167;197569426;0.340467;849830028;3.457600;8629970219;0.000100;182145
0;+;+;+;F;D;3;-;-;+;4.1188;0.083100;207325521;0.363333;906849749;3.668167;9155530379;0.000100;217012
0;+;-;+;F;D;3;+;+;+;8.9181;0.079833;199230071;0.366100;913710682;8.467667;21134991123;0.000100;191967
0;+;-;+;F;D;3;+;-;+;9.0079;0.082000;204683152;0.349833;873187006;8.563533;21374279715;0.000100;169286
0;+;-;+;F;D;3;-;+;+;6.8477;0.080100;199941663;0.346367;864449290;6.417200;16017049006;0.000100;159959
0;+;-;+;F;D;3;-;-;+;7.1575;0.085700;213930695;0.346300;864263445;6.719467;16771542258;0.000100;154684
0;+;~;+;F;D;3;+;+;+;1.4677;0.077333;193058911;0.316767;790692381;1.069333;2668997100;0.000033;118655
0;+;~;+;F;D;3;+;-;+;1.4586;0.076467;190874272;0.327500;817422474;1.050733;2622578258;0.000000;111390
0;+;~;+;F;D;3;-;+;+;1.4867;0.078633;196239102;0.321900;803414352;1.082067;2700805315;0.000067;124765
0;+;~;+;F;D;3;-;-;+;1.4708;0.078500;195975635;0.318900;795962900;1.068933;2668019648;0.000033;122433
0;+;+;+;F;D;4;+;+;+;3.9306;0.077700;193959995;0.348267;869246755;3.500867;8737907742;0.000100;173832
0;+;+;+;F;D;4;+;-;+;3.9790;0.080767;201662701;0.350333;874348849;3.543300;8843982391;0.000100;201300
0;+;+;+;F;D;4;-;+;+;3.7758;0.077333;193020127;0.322667;805385565;3.371367;8414881487;0.000100;132769
0;+;+;+;F;D;4;-;-;+;3.7179;0.078100;194944687;0.329933;823506390;3.305300;8249889331;0.000067;123482
0;+;-;+;F;D;4;+;+;+;8.5458;0.078233;195235119;0.346967;866054514;8.116367;20258164693;0.000100;133280
0;+;-;+;F;D;4;+;-;+;8.6009;0.077167;192626964;0.332033;828755318;8.187533;20435791776;0.000100;141650
0;+;-;+;F;D;4;-;+;+;6.6978;0.080067;199841190;0.355233;886560041;6.258167;15620188400;0.000067;128248
0;+;-;+;F;D;4;-;-;+;6.9295;0.076300;190359200;0.337567;842559704;6.511367;16252174022;0.000067;128530
0;+;~;+;F;D;4;+;+;+;1.4782;0.077500;193434665;0.325167;811598630;1.071233;2673778272;0.000000;113710
0;+;~;+;F;D;4;+;-;+;1.4574;0.076733;191503855;0.326633;815250950;1.050267;2621407598;0.000067;122034
0;+;~;+;F;D;4;-;+;+;1.4511;0.077067;192308390;0.317700;792914066;1.052233;2626402173;0.000033;116917
0;+;~;+;F;D;4;-;-;+;1.4614;0.079600;198585846;0.314600;785133297;1.062667;2652354942;0.000000;103931
0;+;+;+;F;F;3;+;+;+;2.1524;0.079033;197195360;0.333767;833047569;1.735100;4330726040;0.000000;109867
0;+;+;+;F;F;3;+;-;+;2.1712;0.078000;194687099;0.319567;797580101;1.769300;4416121764;0.000000;110912
0;+;+;+;F;F;3;-;+;+;2.1562;0.078933;197012952;0.330433;824732162;1.742467;4349071903;0.000033;112919
0;+;+;+;F;F;3;-;-;+;2.1381;0.078333;195519212;0.320433;799846041;1.733767;4327392572;0.000000;111681
0;+;-;+;F;F;3;+;+;+;8.5330;0.076633;191346306;0.332367;829517007;8.119500;20266029286;0.000067;122048
0;+;-;+;F;F;3;+;-;+;8.6129;0.076967;192133315;0.359133;896398419;8.172200;20397499606;0.000067;122626
0;+;-;+;F;F;3;-;+;+;7.6262;0.080133;200029943;0.343467;857267953;7.197500;17964731428;0.000033;110632
0;+;-;+;F;F;3;-;-;+;6.9494;0.078533;196118148;0.357000;891058965;6.509067;16246471355;0.000100;132886
0;+;~;+;F;F;3;+;+;+;1.4254;0.077633;193834753;0.328133;818985086;1.014967;2533192747;0.000000;111587
0;+;~;+;F;F;3;+;-;+;1.4269;0.077800;194266568;0.325800;813129628;1.018500;2542100410;0.000000;95169
0;+;~;+;F;F;3;-;+;+;1.4004;0.078133;195083258;0.326533;815048555;0.991100;2473758596;0.000000;93471
0;+;~;+;F;F;3;-;-;+;1.4273;0.076900;191954380;0.327767;818086274;1.018500;2542135235;0.000000;101318
0;+;+;+;F;F;4;+;+;+;2.1530;0.077467;193435330;0.328200;819159622;1.742467;4349174951;0.000000;107906
0;+;+;+;F;F;4;+;-;+;2.1751;0.076467;190879240;0.337433;842190048;1.756767;4384823786;0.000000;102630
0;+;+;+;F;F;4;-;+;+;2.1215;0.078000;194621644;0.324600;810234253;1.714400;4279013119;0.000000;100310
0;+;+;+;F;F;4;-;-;+;2.1302;0.076300;190462262;0.324767;810548359;1.724500;4304268688;0.000000;100427
0;+;-;+;F;F;4;+;+;+;8.5357;0.077933;194456779;0.324767;810609453;8.128600;20288759238;0.000033;125834
0;+;-;+;F;F;4;+;-;+;8.6023;0.077300;192941865;0.334500;834938456;8.186067;20432167287;0.000067;123714
0;+;-;+;F;F;4;-;+;+;7.6883;0.077267;192849845;0.350433;874752218;7.256300;18111484663;0.000067;130099
0;+;-;+;F;F;4;-;-;+;6.9481;0.080433;200741037;0.363000;905975470;6.500367;16224629693;0.000067;147623
0;+;~;+;F;F;4;+;+;+;1.4399;0.077200;192744285;0.330300;824416190;1.028200;2566349493;0.000000;116487
0;+;~;+;F;F;4;+;-;+;1.4174;0.077200;192668496;0.318200;794200219;1.017900;2540712067;0.000000;108138
0;+;~;+;F;F;4;-;+;+;1.4026;0.077633;193734491;0.319100;796466163;1.001500;2499731487;0.000000;97416
0;+;~;+;F;F;4;-;-;+;1.4339;0.078633;196227588;0.327933;818592173;1.022333;2551726423;0.000000;106892
0;+;+;+;F;I;3;+;+;+;8.8735;0.077300;192921460;0.363800;908034828;8.428067;21036151536;0.000100;139532
0;+;+;+;F;I;3;+;-;+;8.8438;0.078467;195818854;0.351133;876452285;8.409067;20988839180;0.000100;129856
0;+;+;+;F;I;3;-;+;+;6.6408;0.078033;194710317;0.336433;839726929;6.221633;15529016158;0.000067;124050
0;+;+;+;F;I;3;-;-;+;6.8118;0.081167;202548163;0.342667;855213102;6.382467;15930429069;0.000067;124641
0;+;-;+;F;I;3;+;+;+;8.8227;0.076567;191090892;0.339800;848105238;8.402167;20971573127;0.000100;132497
0;+;-;+;F;I;3;+;-;+;8.8253;0.079700;198914363;0.338100;843867914;8.402267;20971795285;0.000100;146103
0;+;-;+;F;I;3;-;+;+;6.7202;0.078600;196197968;0.339933;848495105;6.297000;15717054783;0.000067;123270
0;+;-;+;F;I;3;-;-;+;7.0934;0.078233;195223208;0.336033;838762869;6.674600;16659547059;0.000100;128393
0;+;~;+;F;I;3;+;+;+;2.6195;0.078500;195963200;0.320767;800625811;2.214900;5528327877;0.000033;121050
0;+;~;+;F;I;3;+;-;+;2.6000;0.078133;194952677;0.324300;809415904;2.192967;5473568877;0.000033;118075
0;+;~;+;F;I;3;-;+;+;2.6117;0.076967;192104595;0.326567;815137173;2.204100;5501417976;0.000000;109351
0;+;~;+;F;I;3;-;-;+;2.6018;0.077367;193083191;0.334700;835349431;2.184933;5453458499;0.000000;108790
0;+;+;+;F;I;4;+;+;+;8.8216;0.077167;192588847;0.339900;848388448;8.399700;20965352413;0.000100;151517
0;+;+;+;F;I;4;+;-;+;8.9294;0.079033;197289292;0.336800;840614427;8.507800;21234756101;0.000100;142353
0;+;+;+;F;I;4;-;+;+;6.5875;0.076333;190565879;0.340933;850964422;6.166433;15390937254;0.000033;116493
0;+;+;+;F;I;4;-;-;+;6.6966;0.079867;199286771;0.339267;846791178;6.273000;15656920164;0.000100;134018
0;+;-;+;F;I;4;+;+;+;8.8337;0.076600;191119514;0.354733;885353790;8.398067;20960918077;0.000100;143852
0;+;-;+;F;I;4;+;-;+;8.6969;0.079433;198215189;0.358333;894293972;8.254367;20602312983;0.000100;146279
0;+;-;+;F;I;4;-;+;+;6.7447;0.076700;191408781;0.353200;881532255;6.310733;15751206318;0.000100;124694
0;+;-;+;F;I;4;-;-;+;6.9914;0.077967;194545466;0.349667;872704820;6.559733;16372626290;0.000100;121909
0;+;~;+;F;I;4;+;+;+;2.6227;0.076400;190671417;0.330233;824263360;2.212000;5520979486;0.000033;123252
0;+;~;+;F;I;4;+;-;+;2.6074;0.077600;193678562;0.330800;825693918;2.194633;5477606547;0.000000;113720
0;+;~;+;F;I;4;-;+;+;2.6218;0.077300;192926855;0.335467;837375137;2.204900;5503339623;0.000000;111741
0;+;~;+;F;I;4;-;-;+;2.6650;0.079133;197515146;0.343400;857108356;2.237633;5584967898;0.000067;140289
3;+;+;+;C;D;3;+;+;+;1.3488;0.014100;35187530;1.095433;2734191094;0.233900;583792640;0.000000;84066
3;+;+;+;C;D;3;+;-;+;1.3550;0.011800;29484887;1.101133;2748283731;0.238667;595592147;0.000000;77947
3;+;+;+;C;D;3;-;+;+;1.3451;0.013100;32699918;1.094467;2731768812;0.233067;581693761;0.000000;85015
3;+;+;+;C;D;3;-;-;+;1.3364;0.012833;32053389;1.085533;2709413730;0.234000;584063545;0.000000;73749
3;+;-;+;C;D;3;+;+;+;2.1620;0.013367;33307073;1.306700;3261466020;0.838067;2091772382;0.000000;76705
3;+;-;+;C;D;3;+;-;+;2.1797;0.013500;33653048;1.290633;3221311789;0.871333;2174848557;0.000000;71227
3;+;-;+;C;D;3;-;+;+;2.0293;0.013033;32516266;1.315667;3283752837;0.696900;1739446358;0.000000;72304
3;+;-;+;C;D;3;-;-;+;2.0588;0.013233;33015663;1.289400;3218198214;0.752433;1878015092;0.000000;70555
3;+;~;+;C;D;3;+;+;+;1.4759;0.012100;30189080;1.086733;2712407406;0.373433;932060661;0.000000;87236
3;+;~;+;C;D;3;+;-;+;1.3925;0.014467;36032104;1.102833;2752540282;0.270600;675422890;0.000000;76212
3;+;~;+;C;D;3;-;+;+;1.4789;0.013933;34788468;1.087367;2714060592;0.373033;931132198;0.000000;80698
3;+;~;+;C;D;3;-;-;+;1.4459;0.012700;31698835;1.145567;2859210564;0.283533;707661423;0.000000;96233
3;+;+;+;C;D;4;+;+;+;1.4695;0.012733;31771770;1.196600;2986558196;0.256600;640394569;0.000033;117140
3;+;+;+;C;D;4;+;-;+;1.4005;0.012833;32064660;1.138700;2842038569;0.244900;611215029;0.000000;82778
3;+;+;+;C;D;4;-;+;+;1.3793;0.014467;36193511;1.120833;2797455782;0.239467;597725275;0.000000;91758
3;+;+;+;C;D;4;-;-;+;1.3306;0.012667;31687948;1.081400;2699097748;0.232700;580779055;0.000000;67644
3;+;-;+;C;D;4;+;+;+;2.1617;0.013933;34765197;1.305967;3259560528;0.837433;2090169174;0.000000;72425
3;+;-;+;C;D;4;+;-;+;2.1825;0.016267;40701316;1.292633;3226284765;0.868133;2166798977;0.000000;69814
3;+;-;+;C;D;4;-;+;+;2.0250;0.013700;34198285;1.309467;3268393592;0.697633;1741299645;0.000000;70947
3;+;-;+;C;D;4;-;-;+;2.0592;0.012367;30917124;1.289933;3219614691;0.753333;1880228167;0.000000;70681
3;+;~;+;C;D;4;+;+;+;1.4768;0.013600;33971721;1.086300;2711296361;0.372267;929168329;0.000000;86210
3;+;~;+;C;D;4;+;-;+;1.3905;0.013933;34768482;1.101133;2748348855;0.270733;675742801;0.000000;77401
3;+;~;+;C;D;4;-;+;+;1.4717;0.013633;34046057;1.082300;2701298600;0.371367;926899309;0.000000;81566
3;+;~;+;C;D;4;-;-;+;1.3655;0.012400;30929514;1.081233;2698665334;0.267900;668667344;0.000000;78177
3;+;+;+;C;F;3;+;+;+;1.3786;0.012667;31617249;1.101933;2750252928;0.260000;649000348;0.000067;234622
3;+;+;+;C;F;3;+;-;+;1.2770;0.015000;37428100;1.088167;2715954596;0.169400;422805732;0.000000;59175
3;+;+;+;C;F;3;-;+;+;1.3516;0.014300;35689089;1.081500;2699313900;0.250967;626351021;0.000000;71176
3;+;+;+;C;F;3;-;-;+;1.2766;0.013600;33877623;1.087933;2715392629;0.170733;426222614;0.000000;58915
3;+;-;+;C;F;3;+;+;+;2.2295;0.014133;35241065;1.337867;3339217967;0.873467;2180102675;0.000000;61219
3;+;-;+;C;F;3;+;-;+;2.2349;0.013133;32729759;1.311167;3272612058;0.906667;2263054306;0.000000;66192
3;+;-;+;C;F;3;-;+;+;2.1427;0.013867;34635889;1.400333;3495069006;0.724033;1807181486;0.000000;76133
3;+;-;+;C;F;3;-;-;+;2.2318;0.013100;32738122;1.387700;3463597942;0.826700;2063391684;0.000000;87880
3;+;~;+;C;F;3;+;+;+;1.6175;0.014900;37145851;1.194033;2980240581;0.403967;1008280109;0.000000;100947
3;+;~;+;C;F;3;+;-;+;1.4641;0.014300;35609827;1.146733;2862139163;0.298933;746102612;0.000000;76628
3;+;~;+;C;F;3;-;+;+;1.6007;0.014100;35173537;1.180100;2945475059;0.402133;1003717293;0.000000;94517
3;+;~;+;C;F;3;-;-;+;1.4660;0.013767;34289918;1.151100;2873040181;0.296833;740810379;0.000000;78200
3;+;+;+;C;F;4;+;+;+;1.4439;0.014100;35153491;1.152933;2877646013;0.271633;677991062;0.000000;89935
3;+;+;+;C;F;4;+;-;+;1.3476;0.012967;32312958;1.151033;2872856394;0.179700;448463427;0.000000;79478
3;+;+;+;C;F;4;-;+;+;1.3919;0.013433;33475812;1.118167;2790874607;0.255933;638675754;0.000000;83579
3;+;+;+;C;F;4;-;-;+;1.3591;0.013500;33725278;1.160133;2895630503;0.181367;452641899;0.000000;80567
3;+;-;+;C;F;4;+;+;+;2.3126;0.013133;32712075;1.394033;3479409767;0.901767;2250703246;0.000000;92407
3;+;-;+;C;F;4;+;-;+;2.2487;0.015467;38620892;1.321300;3297842665;0.906967;2263693700;0.000000;65133
3;+;-;+;C;F;4;-;+;+;2.0249;0.014467;36148755;1.322500;3300915003;0.683633;1706235423;0.000000;62884
3;+;-;+;C;F;4;-;-;+;2.1829;0.014233;35493591;1.352733;3376315370;0.811400;2025235409;0.000000;90778
3;+;~;+;C;F;4;+;+;+;1.5622;0.013000;32471636;1.153200;2878302125;0.392200;978813729;0.000000;91305
3;+;~;+;C;F;4;+;-;+;1.4603;0.013200;32867784;1.143333;2853631439;0.299600;747743553;0.000000;78511
3;+;~;+;C;F;4;-;+;+;1.5421;0.013700;34187473;1.139000;2842818477;0.384933;960764074;0.000000;95892
3;+;~;+;C;F;4;-;-;+;1.4328;0.013133;32734729;1.132033;2825519273;0.283533;707642906;0.000000;70915
3;+;+;+;C;I;3;+;+;+;1.8494;0.015633;39021398;1.157133;2888081311;0.671300;1675438114;0.000000;95821
3;+;+;+;C;I;3;+;-;+;1.8095;0.014167;35355525;1.117700;2789497681;0.673533;1681074990;0.000000;73206
3;+;+;+;C;I;3;-;+;+;1.6349;0.013300;33155116;1.074733;2682459508;0.542367;1353761389;0.000000;72469
3;+;+;+;C;I;3;-;-;+;1.6636;0.014067;35111968;1.099233;2743683882;0.545267;1360998606;0.000000;60210
3;+;-;+;C;I;3;+;+;+;2.0549;0.015233;38010164;1.314300;3280364916;0.720233;1797629670;0.000000;62799
3;+;-;+;C;I;3;+;-;+;2.0159;0.014067;35099673;1.302633;3251345105;0.694633;1733690772;0.000000;61031
3;+;-;+;C;I;3;-;+;+;1.9397;0.014733;36757153;1.335133;3332452651;0.585300;1460834202;0.000000;63141
3;+;-;+;C;I;3;-;-;+;1.9147;0.014500;36134837;1.310733;3271527051;0.585067;1460248248;0.000000;54087
3;+;~;+;C;I;3;+;+;+;1.3837;0.016500;41245734;1.072467;2676795371;0.290133;724046453;0.000000;71516
3;+;~;+;C;I;3;+;-;+;1.3839;0.012467;31076156;1.075500;2684357043;0.291967;728710657;0.000000;58560
3;+;~;+;C;I;3;-;+;+;1.3993;0.012600;31426859;1.099567;2744479655;0.283133;706714896;0.000000;77502
3;+;~;+;C;I;3;-;-;+;1.3724;0.015467;38521894;1.069067;2668342733;0.283433;707383514;0.000000;59563
3;+;+;+;C;I;4;+;+;+;1.7164;0.012767;31804513;1.075133;2683405962;0.624900;1559681733;0.000000;75704
3;+;+;+;C;I;4;+;-;+;1.7939;0.013133;32827248;1.112200;2775890071;0.664767;1659307091;0.000000;71713
3;+;+;+;C;I;4;-;+;+;1.6336;0.012333;30771343;1.074900;2682855634;0.542733;1354644582;0.000000;74325
3;+;+;+;C;I;4;-;-;+;1.6500;0.012467;31030464;1.091667;2724840375;0.541800;1352364306;0.000000;58938
3;+;-;+;C;I;4;+;+;+;1.9939;0.012600;31480745;1.280233;3195468036;0.697267;1740316681;0.000000;55284
3;+;-;+;C;I;4;+;-;+;1.9820;0.012667;31664025;1.279067;3192400715;0.686400;1713186486;0.000000;56190
3;+;-;+;C;I;4;-;+;+;1.9006;0.014100;35235749;1.307733;3263963087;0.574733;1434504941;0.000000;57715
3;+;-;+;C;I;4;-;-;+;1.9755;0.015067;37651221;1.351067;3372272501;0.603867;1507229524;0.000000;63695
3;+;~;+;C;I;4;+;+;+;1.4874;0.013800;34425989;1.157833;2889902672;0.311067;776415374;0.000000;89944
3;+;~;+;C;I;4;+;-;+;1.4796;0.012500;31178878;1.154033;2880328134;0.309467;772347887;0.000000;78382
3;+;~;+;C;I;4;-;+;+;1.4891;0.014133;35288751;1.170033;2920317675;0.300200;749294896;0.000000;90841
3;+;~;+;C;I;4;-;-;+;1.4459;0.013633;34097432;1.127567;2814332071;0.300267;749463887;0.000000;69953
3;+;+;+;F;D;3;+;+;+;0.4116;0.026667;66632679;0.168700;421056854;0.211600;528119659;0.000000;67620
3;+;+;+;F;D;3;+;-;+;0.4255;0.027200;67852260;0.174833;436370237;0.219200;547041582;0.000000;52596
3;+;+;+;F;D;3;-;+;+;0.4300;0.026367;65806308;0.184667;460887739;0.215033;536706323;0.000000;62740
3;+;+;+;F;D;3;-;-;+;0.4187;0.028033;69924173;0.173733;433649772;0.212700;530828596;0.000000;47910
3;+;-;+;F;D;3;+;+;+;1.0327;0.026567;66323051;0.172133;429563065;0.830100;2071881078;0.000000;43212
3;+;-;+;F;D;3;+;-;+;1.1327;0.027867;69538848;0.176667;440964227;0.924000;2306232630;0.000100;249590
3;+;-;+;F;D;3;-;+;+;0.8009;0.026200;65392361;0.172567;430740418;0.598233;1493083190;0.000000;53463
3;+;-;+;F;D;3;-;-;+;0.9034;0.027867;69607396;0.167433;417836692;0.703633;1756121762;0.000000;47189
